"",DS-2CE16C2T-IR 2.8,DS-2CE16C0T-IT3 16MM
"",,,,VCA,Detección,
"",Hombre / Vehículo,,,,,
"",,,,Análisis de,Perimetral,Hombre / Vehículo
"",VCA,Hombre / Vehículo,,,,
Análisis de Video,,,Hombre / Vehículo,Comportamiento,Detección de,Detección
"",Detección de,Cruce de Linea,,,,
"",,,,Detección de,Movimiento,Perimetral
"",Rostros,,,,,
"",,,,Rostros,Detección de,
"",,,,,Rostros,
Entradas/Salidas,,,,,,
de Alarma,1e/1s,2e/2s,1e/1s,1e/1s,1e/1s,1e/1s
Entrada/Salida,,Micrófono,,,,
Audio,1e/1s,Integrado,1e/1s,1e/1s,1e/1s,1e/1s
Slot SD,Micro SD (256 GB),Micro SD (512 GB),Micro SD (512 GB),Micro SD (128 GB),Micro SD (256 GB),Micro SD (512 GB)
WIFI,;,;,;,;,;,;
Exterior,IP67,IP67,IP67,IP67,IP67,IP66
Grado de,,,,,,
Protección,IK10,;,;,IK10,IK10,IK10
Antivandálica,,,,,,
Soporte Pared,No,No,DS-1280ZJ-S,No,No,No
"",,,,,DS-1260ZJ,
Soporte Base,No,DS-1260ZJ,No,No,,No
"",,,,,DS-1280ZJ-S,
Soporte Techo,No,No,No,No,No,No
"",,DS-1275ZJ-S-SUS,DS-1275ZJ-S-SUS,,,
Soporte Poste,DS-1275ZJ-S-SUS,,,DS-1276ZJ-SUS,DS-1275ZJ-S-SUS,DS-1275ZJ-S-SUS
"",,DS-1275ZJ-SUS,DS-1275ZJ-SUS,,,
Soporte Esquina,DS-1476ZJ-SUS,DS-1276ZJ-SUS,DS-1276ZJ-SUS,DS-1275ZJ-SUS,DS-1276ZJ-SUS,DS-1476ZJ-SUS
Soporte,,,,,,
Empotrado,No,No,No,No,No,No
"",12 Vdc / PoE +,12 Vdc,12 Vdc,12 Vdc,12 Vdc / PoE +,12 Vdc / PoE +
Alimentación,,,,,,
"",802.3at,PoE+ 802.3at,PoE 802.3af,PoE+ 802.3at,802.3at,802.3at
Alto x Ancho x,14.40 x 14.40 x,,,14.40 x 14.40 x,,
Profundo (cm),33.30,8.70 x 8.80 x 28.70,8.30 x 8.80 x 28.50,33.27,9.30 x 9.70 x 30.85,9.40 x 9.70 x 33.20
Peso (kg),1.31,1.25,0.81,1.40,1.29,1.54
Disponibilidad,P,C,C,C,A,P
"",DS-2CD2086G2H-IU(2.8MM)(EF)-BLACK,DS-2CD2T87G2-L(2.8MM)
Tipo de Cámara,Bullet,Bullet
Resolución,8 Mpx,8 Mpx
Tecnología de Vídeo,IP,IP
Tipo de Óptica,Fija,Fija
Distancia Focal,"2,8 mm","2,8 mm"
"Ángulo de Ajuste",3 ejes,3 ejes
LEDs,40 m IR,60 m IR
Luz Blanca,;,;
WDR,120 dB,130 dB
Iluminación Mínima,0.0008 lux,0.0005lux
"",,Hombre / Vehículo
"",,VCA
Análisis de Video,No,Detección Perimetral
"",,Detección de Movimiento
"",,Detección de Rostros
Entradas/Salidas de Alarma,;,;
Entrada/Salida Audio,Micrófono Integrado,;
Slot SD,Micro SD (512 GB),Micro SD (256 GB)
WIFI,;,;
Exterior,IP67,IP67
Grado de Protección Antivandálica,;,;
Soporte Pared,No,No
"",,DS-1260ZJ
Soporte Base,DS-1280ZJ-XS,
"",,DS-1280ZJ-S
Soporte Techo,No,No
Soporte Poste,DS-1275ZJ-SUS,DS-1275ZJ-S-SUS
Soporte Esquina,DS-1276ZJ-SUS,No
Soporte Empotrado,No,No
"",12 Vdc,
Alimentación,,12 Vdc / PoE 802.3af
"",PoE 802.3af,
Alto x Ancho x Profundo (cm),7.40 x 7.40 x 17.90,10.50 x 10.50 x 28.95
Peso (kg),0.53,1.26
Disponibilidad,C,C
"",,DS-2CD2686G2-IZS(2.8-12MM),DS-2CD2687G3-LIZS2UY-
"",DS-2CD4AC5F-IZHS(2.8-12MM),,
"",,(C),SL(2.8-12MM)
Tipo de Cámara,Bullet,Bullet,Bullet
Resolución,8 Mpx,8 Mpx,8 Mpx
Tecnología de Vídeo,IP,IP,IP
Tipo de Óptica,Motorizada,Motorizada,Motorizada
Distancia Focal,"2,8 - 12 mm","2,8 - 12 mm","2,8 - 12 mm"
"Ángulo de Ajuste",3 ejes,3 ejes,3 ejes
LEDs,50 m IR,60 m IR,60 m IR
Luz Blanca,;,;,60 m
WDR,Digital WDR,120 dB,130 dB
Iluminación Mínima,0.01lux,0.003lux,0.001lux
"",,Hombre / Vehículo,
"",,,Hombre / Vehículo
Análisis de Video,VCA,VCA,
"",,,Cruce de Linea
"",,Detección de Rostros,
Entradas/Salidas de Alarma,;,1e/1s,2e/2s
Entrada/Salida Audio,;,1e/1s,Micrófono Integrado / 1e/1s
Slot SD,;,Micro SD (256 GB),Micro SD (512 GB)
WIFI,;,;,;
Exterior,IP67,IP66,IP67
Grado de Protección,,,
Antivandálica,;,IK10,IK10
Soporte Pared,No,No,No
Soporte Base,No,No,No
Soporte Techo,No,No,No
Soporte Poste,No,DS-1275ZJ-S-SUS,DS-1476ZJ-SUS
Soporte Esquina,No,DS-1475ZJ-SUS,DS-1475ZJ-Y
Soporte Empotrado,No,No,No
"",12 Vdc,,12 Vdc
Alimentación,,12 Vdc / PoE + 802.3at,
"",PoE+ 802.3at,,PoE+ 802.3at
Alto x Ancho x Profundo (cm),- x - x -,14.40 x 14.40 x 33.30,9.74 x 8.20 x 33.30
Peso (kg),1.73,1.43,1.50
Disponibilidad,P,A+,C
"",DS-2CD1123G0E-,DS-2CD1323G0E-,DS-2CD2123G2-,DS-2CD2123G2-
"",I(2.8MM),I(2.8MM),I(2.8MM),IS(2.8MM)
Tipo de Cámara,Minidomo,Minidomo,Minidomo,Minidomo
Resolución,2 Mpx,2 Mpx,2 Mpx,2 Mpx
Tecnología de Vídeo,IP,IP,IP,IP
Tipo de Óptica,Fija,Fija,Fija,Fija
Distancia Focal,"2,8 mm","2,8 mm","2,8 mm","2,8 mm"
"Ángulo de Ajuste",2 ejes,3 ejes,3 ejes,3 ejes
LEDs,30 m IR,30 m IR,30 m IR,30 m IR
Luz Blanca,;,;,;,;
WDR,Digital WDR,Digital WDR,120 dB,120 dB
Iluminación Mínima,0.01lux,0.01lux,0.005lux,0.005lux
"",,,Hombre / Vehículo,
Análisis de Video,VCA,VCA,VCA,Detección de Movimiento
"",,,Detección de Rostros,
Entradas/Salidas de,,,,
Alarma,;,;,;,1e/1s
Entrada/Salida Audio,;,;,;,1e/1s
Slot SD,;,;,Micro SD (256 GB),Micro SD (256 GB)
WIFI,;,;,;,;
Exterior,IP67,IP67,IP67,IP67
Grado de Protección,,,,
Antivandálica,IK10,;,IK10,IK10
Soporte Pared,DS-1272ZJ-110,DS-1272ZJ-110-TRS,DS-1272ZJ-110,DS-1272ZJ-120
Soporte Base,DS-1280ZJ-DM18,DS-1280ZJ-S,DS-1280ZJ-DM18,DS-1280ZJ-DM46
Soporte Techo,No,No,No,No
Soporte Poste,DS-1275ZJ-SUS,DS-1275ZJ-SUS,DS-1275ZJ-SUS,DS-1275ZJ-SUS
Soporte Esquina,DS-1276ZJ-SUS,DS-1276ZJ-SUS,DS-1276ZJ-SUS,DS-1276ZJ-SUS
Soporte Empotrado,No,No,No,No
"",,,12 Vdc,12 Vdc
Alimentación,12 Vdc / PoE 802.3af,12 Vdc / PoE 802.3af,,
"",,,PoE 802.3af,PoE 802.3af
Alto x Ancho x Profundo,,,,
"(cm)",8.24 x 11.10 x 11.10,9.32 x 11.00 x 11.00,8.47 x 11.08 x 11.08,8.47 x 11.08 x 11.08
Peso (kg),0.40,0.36,0.53,0.53
Disponibilidad,A,A,C,A
"",DS-2CD2326G2-ISU-,DS-2CD2523G2-,DS-2CD2523G2-IS,DS-2CV2121G2-
"",SL(2.8MM),I(2.8MM),2.8MM,IDW(2.8MM)
Tipo de Cámara,Minidomo,Minidomo,Minidomo,Minidomo
Resolución,2 Mpx,2 Mpx,2 Mpx,2 Mpx
Tecnología de Vídeo,IP,IP,IP,IP
Tipo de Óptica,Fija,Fija,Fija,Fija
Distancia Focal,"2,8 mm","2,8 mm","2,8 mm","2,8 mm"
"Ángulo de Ajuste",3 ejes,3 ejes,3 ejes,3 ejes
LEDs,30 m IR,30 m IR,30 m IR,30 m IR
Luz Blanca,;,;,;,;
WDR,120 dB,120 dB,120 dB,120 dB
Iluminación Mínima,0.002lux,0.005lux,0.005lux,0.005lux
"",,Hombre / Vehículo,Hombre / Vehículo,
"",,VCA,VCA,
Análisis de Video,No,,,Detección de Movimiento
"",,Detección de Movimiento,Detección de Movimiento,
"",,Detección de Rostros,Detección de Rostros,
Entradas/Salidas de,,,,
Alarma,1e/1s,;,1e/1s,;
"",,,,Micrófono / Altavoz
Entrada/Salida Audio,1e/1s,;,1e/1s,
"",,,,Integrado
Slot SD,Micro SD (512 GB),Micro SD (256 GB),Micro SD (512 GB),Micro SD (256 GB)
WIFI,;,;,;,IEEE 802.11b/g/n
Exterior,IP67,IP67,IP67,IP66
Grado de Protección,,,,
Antivandálica,;,IK08,IK08,;
Soporte Pared,DS-1273ZJ-140,DS-1272ZJ-120,DS-1272ZJ-120,DS-1272ZJ-120
Soporte Base,DS-1280ZJ-PT6,DS-1280ZJ-DM46,DS-1280ZJ-DM46,No
Soporte Techo,No,No,No,DS-1271ZJ-110
Soporte Poste,DS-1275ZJ-SUS,DS-1275ZJ-SUS,DS-1275ZJ-SUS,No
Soporte Esquina,DS-1276ZJ-SUS,DS-1276ZJ-SUS,DS-1276ZJ-SUS,No
Soporte Empotrado,No,No,No,No
"",12 Vdc,,,
Alimentación,,12 Vdc / PoE 802.3af,12 Vdc / PoE 802.3af,12 Vdc
"",PoE 802.3af,,,
Alto x Ancho x Profundo,,,,
"(cm)",13.83 x 13.83 x 11.54,11.00 x 11.00 x 5.74,11.00 x 11.00 x 5.74,12.60 x 12.60 x 9.61
Peso (kg),0.78,0.38,0.38,0.59
Disponibilidad,C,A,A,A
"",DS-2CD1723G2-,DS-2CD2H25FWD-,DS-2CD2723G2-,DS-2CD2726G2-,DS-2CD3723G2-
"",LIZSU(2.8-12MM),IZS(2.8-12MM),IZS(2.8-12MM),IZS(2.8-12MM),IZS(2.7-13.5MM)
Tipo de Cámara,Minidomo,Minidomo,Minidomo,Minidomo,Minidomo
Resolución,2 Mpx,2 Mpx,2 Mpx,2 Mpx,2 Mpx
Tecnología de Vídeo,IP,IP,IP,IP,IP
Tipo de Óptica,Varifocal Manual,Motorizada,Motorizada,Motorizada,Motorizada
Distancia Focal,"2,8 - 12 mm","2,8 - 12 mm","2,8 - 12 mm","2,8 - 12 mm","2,7 - 13,5 mm"
"Ángulo de Ajuste",3 ejes,3 ejes,3 ejes,3 ejes,3 ejes
LEDs,30 m IR,30 m IR,40 m IR,40 m IR,40 m IR
Luz Blanca,30m,;,;,;,;
WDR,Digital WDR,120 dB,120 dB,120 dB,120 dB
Iluminación Mínima,0.005lux,0.005lux,0.005lux,0.002lux,0.005lux
"",,VCA,,,
"",,,Hombre / Vehículo,,
"",,Detección de,,Hombre / Vehículo,
Análisis de Video,Hombre / Vehículo,,VCA,,No
"",,Movimiento,,VCA,
"",,,Detección de Rostros,,
"",,Detección de Rostros,,,
Entradas/Salidas de,,,,,
Alarma,1e/1s,1e/1s,1e/1s,1e/1s,1e/1s
Entrada/Salida Audio,1e/1s,1e/1s,1e/1s,1e/1s,1e/1s
Slot SD,Micro SD (512 GB),Micro SD (128 GB),Micro SD (256 GB),Micro SD (256 GB),Micro SD (512 GB)
WIFI,;,;,;,;,;
Exterior,IP67,IP66,IP67,IP66,IP67
Grado de Protección,,,,,
Antivandálica,IK08,IK10,IK10,IK10,IK10
Soporte Pared,DS-1272ZJ-120,DS-1473ZJ-135,DS-1473ZJ-155,DS-1473ZJ-155,DS-1272ZJ-120
Soporte Base,DS-1280ZJ-DM46,No,No,No,No
Soporte Techo,DS-1271ZJ-120,No,No,No,No
Soporte Poste,DS-1275ZJ-SUS,DS-1475ZJ-SUS,DS-1475ZJ-SUS,DS-1475ZJ-SUS,DS-1275ZJ-SUS
Soporte Esquina,DS-1276ZJ-SUS,DS-1476ZJ-SUS,DS-1476ZJ-SUS,DS-1476ZJ-SUS,DS-1276ZJ-SUS
Soporte Empotrado,No,No,No,No,No
"",12 Vdc,,12 Vdc,,12 Vdc
Alimentación,,12 Vdc / PoE 802.3af,,12 Vdc / PoE 802.3af,
"",PoE 802.3af,,PoE 802.3af,,PoE 802.3af
Alto x Ancho x,,,,,
Profundo (cm),9.70 x 12.10 x 12.10,13.58 x 13.58 x 14.55,11.16 x 15.33 x 15.33,13.31 x 15.35 x 15.35,11.10 x 15.30 x 15.30
Peso (kg),0.54,1.06,0.88,0.89,-
Disponibilidad,C,C,A,B,P
"",DS-2CD1143G0-,DS-2CD1143G2-,DS-2CD1143G2-,DS-2CD1147G2H-,DS-2CD1343G2-
"",IUF(2.8MM),I(2.8MM),LIU(2.8MM),LIU(2.8MM),I(2.8MM)
Tipo de Cámara,Minidomo,Minidomo,Minidomo,Minidomo,Minidomo
Resolución,4 Mpx,4 Mpx,4 Mpx,4 Mpx,4 Mpx
Tecnología de Vídeo,IP,IP,IP,IP,IP
Tipo de Óptica,Fija,Fija,Fija,Fija,Fija
Distancia Focal,"2,8 mm","2,8 mm","2,8 mm","2,8 mm","2,8 mm"
"Ángulo de Ajuste",2 ejes,2 ejes,3 ejes,3 ejes,3 ejes
LEDs,30 m IR,30 m IR,30 m IR,30 m IR,30 m IR
Luz Blanca,;,;,30m,30m,;
WDR,120 dB,120 dB,120 dB,120 dB,120 dB
Iluminación Mínima,0.01lux,0.1lux,0.005lux,0.001lux,0.01lux
"",,Hombre / Vehículo,,,
"",,,,Detección de,Detección de
Análisis de Video,No,Detección de,Hombre / Vehículo,,
"",,,,Movimiento,Movimiento
"",,Movimiento,,,
Entradas/Salidas de,,,,,
Alarma,;,;,;,;,;
Entrada/Salida Audio,Micrófono Integrado,;,Micrófono Integrado,Micrófono Integrado,;
Slot SD,Micro SD (512 GB),;,;,;,Micro SD (256 GB)
WIFI,;,;,;,;,;
Exterior,IP67,IP67,IP67,IP67,IP67
Grado de Protección,,,,,
Antivandálica,IK10,IK10,IK08,IK08,;
Soporte Pared,DS-1272ZJ-120,DS-1272ZJ-110,DS-1272ZJ-120,DS-1272ZJ-120,DS-1272ZJ-110-TRS
Soporte Base,DS-1280ZJ-DM46,DS-1280ZJ-DM18,DS-1280ZJ-DM46,DS-1280ZJ-DM46,DS-1280ZJ-S
Soporte Techo,No,No,No,No,No
Soporte Poste,DS-1275ZJ-SUS,DS-1275ZJ-SUS,DS-1275ZJ-SUS,DS-1275ZJ-SUS,DS-1275ZJ-SUS
Soporte Esquina,DS-1276ZJ-SUS,DS-1276ZJ-SUS,No,DS-1276ZJ-SUS,DS-1276ZJ-SUS
Soporte Empotrado,No,No,No,No,No
"",12 Vdc,,12 Vdc,12 Vdc,
Alimentación,,12 Vdc / PoE 802.3af,,,12 Vdc / PoE 802.3af
"",PoE 802.3af,,PoE 802.3af,PoE 802.3af,
Alto x Ancho x,,,,,
Profundo (cm),8.24 x 11.00 x 11.00,8.40 x 10.00 x 10.00,9.70 x 12.10 x 12.10,9.70 x 12.00 x 12.00,8.50 x 11.00 x 11.00
Peso (kg),0.41,0.52,0.55,0.55,0.33
Disponibilidad,C,A+,C,B,A+
"",DS-2CD1347G0-,DS-2CD1347G2H-,DS-2CD2143G2-,DS-2CD2143G2-,DS-2CD2146G2H-
"",L(2.8MM),LIU(2.8MM),IU(2.8MM),IS(2.8MM)(BLACK),ISU2.8
Tipo de Cámara,Minidomo,Minidomo,Minidomo,Minidomo,Minidomo
Resolución,4 Mpx,4 Mpx,4 Mpx,4 Mpx,4 Mpx
Tecnología de Vídeo,IP,IP,IP,IP,IP
Tipo de Óptica,Fija,Fija,Fija,Fija,Fija
Distancia Focal,"2,8 mm","2,8 mm","2,8 mm","2,8 mm","2,8 mm"
"Ángulo de Ajuste",3 ejes,3 ejes,3 ejes,3 ejes,3 ejes
LEDs,;,30 m IR,30 m IR,30 m IR,30 m IR
Luz Blanca,30m,30m,;,;,;
WDR,120 dB,120 dB,120 dB,120 dB,120 dB
Iluminación Mínima,0.001lux,0.001lux,0.005lux,0.005lux,0.001lux
"",,,,Hombre / Vehículo,
"",,,Hombre / Vehículo,,
"",,,,VCA,
"",VCA,,VCA,,
"",,,,Detección Perimetral,
Análisis de Video,Detección de,No,Detección Perimetral,,No
"",,,,Detección de,
"",Movimiento,,Detección de,,
"",,,,Movimiento,
"",,,Movimiento,,
"",,,,Detección de Rostros,
Entradas/Salidas de,,,,,
Alarma,;,;,;,1e/1s,1e/1s
Entrada/Salida Audio,;,Micrófono Integrado,Micrófono Integrado,1e/1s,1e/1s
Slot SD,;,;,Micro SD (256 GB),Micro SD (256 GB),Micro SD (512 GB)
WIFI,;,;,;,;,;
Exterior,IP67,IP67,IP66,IP67,IP67
Grado de Protección,,,,,
Antivandálica,;,;,IK10,IK10,IK10
Soporte Pared,DS-1272ZJ-110-TRS,DS-1272ZJ-110-TRS,DS-1272ZJ-120,DS-1272ZJ-110,DS-1272ZJ-120
Soporte Base,DS-1280ZJ-S,DS-1280ZJ-S,DS-1280ZJ-DM46,DS-1280ZJ-DM18,DS-1280ZJ-DM46
Soporte Techo,No,No,No,No,No
Soporte Poste,DS-1275ZJ-SUS,DS-1275ZJ-SUS,DS-1275ZJ-SUS,DS-1275ZJ-SUS,DS-1275ZJ-SUS
Soporte Esquina,DS-1276ZJ-SUS,DS-1276ZJ-SUS,DS-1276ZJ-SUS,DS-1276ZJ-SUS,DS-1276ZJ-SUS
Soporte Empotrado,No,No,No,No,No
"",,12 Vdc,,,12 Vdc
Alimentación,12 Vdc / PoE 802.3af,,12 Vdc / PoE 802.3af,12 Vdc / PoE 802.3af,
"",,PoE 802.3af,,,PoE 802.3af
Alto x Ancho x,,,,,
Profundo (cm),11.00 x 11.00 x 10.08,9.30 x 11.00 x 11.00,8.47 x 11.08 x 11.08,11.08 x 11.08 x 8.47,9.70 x 10.00 x 10.00
Peso (kg),0.35,0.42,0.53,0.53,0.55
Disponibilidad,C,C,A+,A,C
"",,,,,DS-2CD2347G2H-
"",DS-2CD2147G2-,DS-2CD2147G2H-,DS-2CD2147G3-,DS-2CD2343G2-,
"",,,,,LISU-SL(2.8MM)
"",LSU(2.8MM),LI(2.8MM),LIS2UY(2.8MM),IU(2.8MM),
"",,,,,(EF)
Tipo de Cámara,Minidomo,Minidomo,Minidomo,Minidomo,Minidomo
Resolución,4 Mpx,4 Mpx,4 Mpx,4 Mpx,4 Mpx
Tecnología de Vídeo,IP,IP,IP,IP,IP
Tipo de Óptica,Fija,Fija,Fija,Fija,Fija
Distancia Focal,"2,8 mm","2,8 mm","2,8 mm","2,8 mm","2,8 mm"
"Ángulo de Ajuste",3 ejes,3 ejes,3 ejes,3 ejes,3 ejes
LEDs,;,30 m IR,30 m IR,30 m IR,30 m IR
Luz Blanca,30m,30m,30m,;,30m
WDR,130 dB,130 dB,130 dB,120 dB,130 dB
Iluminación Mínima,0.0005lux,0.0005lux,0.0001 lux,0.005lux,0.0005lux
"",,,,Hombre / Vehículo,
"",,,,VCA,
"",,,Hombre / Vehículo,Detección Perimetral,Hombre / Vehículo
Análisis de Video,No,No,,,
"",,,Cruce de Linea,Detección de,Detección Perimetral
"",,,,Movimiento,
"",,,,Detección de Rostros,
Entradas/Salidas de,,,,,
Alarma,1e/1s,1e/1s,1e/1s,;,1e/1s
"",,,Micrófono Integrado,,Micrófono / Altavoz
Entrada/Salida Audio,1e/1s,1e/1s,,Micrófono Integrado,
"",,,/ 1e/1s,,Integrado
Slot SD,Micro SD (512 GB),Micro SD (512 GB),Micro SD (512 GB),Micro SD (256 GB),Micro SD (512 GB)
WIFI,;,;,;,;,;
Exterior,IP67,IP67,IP67,IP67,IP67
Grado de Protección,,,,,
Antivandálica,IK10,IK10,;,;,;
Soporte Pared,DS-1272ZJ-120,DS-1272ZJ-120,DS-1272ZJ-120,DS-1273ZJ-130-TRL,DS-1273ZJ-140
Soporte Base,No,DS-1280ZJ-DM46,DS-1280ZJ-DM46,DS-1280ZJ-DM8,DS-1280ZJ-PT6
Soporte Techo,No,No,DS-1280ZJ-DM46,No,No
Soporte Poste,No,DS-1275ZJ-SUS,DS-1275ZJ-SUS,DS-1275ZJ-SUS,No
Soporte Esquina,No,DS-1276ZJ-SUS,DS-1275ZJ-SUS,DS-1276ZJ-SUS,DS-1276ZJ-SUS
Soporte Empotrado,No,No,No,No,No
"",12 Vdc,12 Vdc,12 Vdc,,
Alimentación,,,,12 Vdc / PoE 802.3af,12 Vdc / PoE 802.3af
"",PoE 802.3af,PoE 802.3af,PoE 802.3af,,
Alto x Ancho x,,,,,
Profundo (cm),10.00 x 12.00 x 12.00,9.70 x 10.40 x 10.40,9.70 x 12.00 x 12.00,12.73 x 12.73 x 9.59,11.50 x 13.80 x 13.80
Peso (kg),0.60,0.53,0.60,0.60,0.82
Disponibilidad,C,C,C,A,A
"",DS-2CD2347G3-,DS-2CD2543G2-,DS-2CD2546G2-,DS-2CD2547G2-,DS-2CD2346G2P-
"",LIS2UY-SL(2.8MM),IS(2.8MM),IS(2.8MM),LS(2.8MM),ISU-SL(2.8MM)
Tipo de Cámara,Minidomo,Minidomo,Minidomo,Minidomo,Minidomo
Resolución,4 Mpx,4 Mpx,4 Mpx,4 Mpx,4 Mpx
Tecnología de Vídeo,IP,IP,IP,IP,IP
Tipo de Óptica,Fija,Fija,Fija,Fija,Fija
Distancia Focal,"2,8 mm","2,8 mm","2,8 mm","2,8 mm",Pano 180o
"Ángulo de Ajuste",3 ejes,3 ejes,3 ejes,3 ejes,3 ejes
LEDs,30 m IR,30 m IR,30 m IR,;,30 m IR
Luz Blanca,30m,;,;,30m,;
WDR,130 dB,120 dB,120 dB,130 dB,120 dB
Iluminación Mínima,0.0001 lux,0.005lux,0.003lux,0.0005lux,0.003lux
"",,Hombre / Vehículo,,,
"",,,Hombre / Vehículo,Objetos en la zona de,
"",,VCA,,,
"",,,VCA,interés,
"",Hombre / Vehículo,Detección Perimetral,,,
Análisis de Video,,,Detección de,Detección de,No
"",Cruce de Linea,Detección de,,,
"",,,Movimiento,Movimiento,
"",,Movimiento,,,
"",,,Detección de Rostros,Cruce de Linea,
"",,Detección de Rostros,,,
Entradas/Salidas de,,,,,
Alarma,1e/1s,1e/1s,1e/1s,1e/1s,1e/1s
"",Micrófono Integrado,,,,
Entrada/Salida Audio,,1e/1s,1e/1s,1e/1s,1e/1s
"",/ 1e/1s,,,,
Slot SD,Micro SD (512 GB),Micro SD (256 GB),Micro SD (512 GB),Micro SD (512 GB),Micro SD (512 GB)
WIFI,;,;,;,;,;
Exterior,IP67,IP67,IP67,IP67,IP67
Grado de Protección,,,,,
Antivandálica,;,IK08,;,IK08,;
Soporte Pared,DS-1273ZJ-140,DS-1272ZJ-120,DS-1272ZJ-120,DS-1272ZJ-120,DS-1273ZJ-140
Soporte Base,DS-1280ZJ-PT6,DS-1280ZJ-DM46,DS-1280ZJ-DM46,DS-1280ZJ-DM46,No
Soporte Techo,DS-1280ZJ-PT6,No,No,No,No
Soporte Poste,DS-1275ZJ-SUS,DS-1275ZJ-SUS,DS-1275ZJ-SUS,DS-1275ZJ-SUS,No
Soporte Esquina,DS-1276ZJ-SUS,DS-1276ZJ-SUS,DS-1276ZJ-SUS,DS-1276ZJ-SUS,No
Soporte Empotrado,No,No,No,No,No
"",12 Vdc,,,12 Vdc,12 Vdc
Alimentación,,12 Vdc / PoE 802.3af,12 Vdc / PoE 802.3af,,
"",PoE+ 802.3at,,,PoE 802.3af,PoE 802.3af
Alto x Ancho x,,,,,
Profundo (cm),11.50 x 13.80 x 13.80,11.00 x 11.00 x 5.70,12.00 x 12.00 x 6.74,11.36 x 11.36 x 7.26,14.50 x 14.00 x 14.00
Peso (kg),0.82,0.38,0.37,0.40,0.94
Disponibilidad,C,A,B,A,C
"",DS-2CD1743G0-IZ(2.8-,DS-2CD1743G2-IZS(2.8-,DS-2CD2746G2HT-,DS-2CD2743G2-IZS(2.8
"",12MM),12MM),IZS(2.8-12MM),12MM)
Tipo de Cámara,Minidomo,Minidomo,Minidomo,Minidomo
Resolución,4 Mpx,4 Mpx,4 Mpx,4 Mpx
Tecnología de Vídeo,IP,IP,IP,IP
Tipo de Óptica,Motorizada,Motorizada,Motorizada,Motorizada
Distancia Focal,"2,8 - 12 mm","2,8 - 12 mm","2,8 - 12 mm","2,8 - 12 mm"
"Ángulo de Ajuste",3 ejes,3 ejes,3 ejes,3 ejes
LEDs,30 m IR,30 m IR,40 m IR,40 m IR
Luz Blanca,;,;,;,;
WDR,120 dB,120 dB,120 dB,120 dB
Iluminación Mínima,0.005lux,0.005lux,0.001lux,0.005lux
"",,,,Hombre / Vehículo
Análisis de Video,VCA,Hombre / Vehículo,Hombre / Vehículo,
"",,,,VCA
Entradas/Salidas de,,,,
Alarma,;,1e/1s,1e/1s,1e/1s
Entrada/Salida Audio,;,1e/1s,1e/1s,1e/1s
Slot SD,Micro SD (256 GB),Micro SD (256 GB),Micro SD (512 GB),Micro SD (256 GB)
WIFI,;,;,;,;
Exterior,IP67,IP67,IP67,IP67
Grado de Protección,,,,
Antivandálica,IK10,IK10,IK10,IK10
Soporte Pared,DS-1273ZJ-135,DS-1273ZJ-135,DS-1273ZJ-140-DM45,DS-1473ZJ-155
Soporte Base,DS-1280ZJ-DM21,DS-1280ZJ-DM21,DS-1280ZJ-DM45,DS-1280ZJ-DM55
Soporte Techo,No,DS-1227ZJ-PT6,No,No
Soporte Poste,DS-1275ZJ-SUS,DS-1275ZJ-SUS,DS-1275ZJ-SUS,DS-1475ZJ-SUS
Soporte Esquina,DS-1276ZJ-SUS,DS-1276ZJ-SUS,DS-1276ZJ-SUS,DS-1476ZJ-SUS
Soporte Empotrado,No,No,No,No
"",,12 Vdc,12 Vdc,12 Vdc
Alimentación,12 Vdc / PoE 802.3af,,,
"",,PoE 802.3af,PoE 802.3af,PoE 802.3af
Alto x Ancho x Profundo,,,,
"(cm)",9.99 x 14.10 x 14.10,9.90 x 14.00 x 14.00,11.20 x 14.10 x 14.10,11.16 x 15.33 x 15.33
Peso (kg),0.82,1.20,0.82,0.88
Disponibilidad,C,A+,B,A+
"",DS-2CD2747G2T-LZS,DS-2CD2746G2-IZS(2.8-,DS-2CD2747G2HT-,DS-2CD2747G2-
"",(C),12MM)-BLACK,LIZS(2.8-12)-EF-BLK,LZS(3.6-9MM)
Tipo de Cámara,Minidomo,Minidomo,Minidomo,Minidomo
Resolución,4 Mpx,4 Mpx,4 Mpx,4 Mpx
Tecnología de Vídeo,IP,IP,IP,IP
Tipo de Óptica,Motorizada,Motorizada,Motorizada,Motorizada
Distancia Focal,"2,8 - 12 mm","2,8 - 12 mm","2,8 - 12 mm",3.6 - 9 mm
"Ángulo de Ajuste",3 ejes,3 ejes,3 ejes,3 ejes
LEDs,;,40 m IR,40 m IR,;
Luz Blanca,40m,;,40m,40m
WDR,130 dB,120 dB,130 dB,130 dB
Iluminación Mínima,0.0005lux,0.003lux,0.0008 lux,0.0005lux
"",,Hombre / Vehículo,,Hombre / Vehículo
"",,VCA,,VCA
Análisis de Video,No,Detección Perimetral,Hombre / Vehículo,Detección Perimetral
"",,Detección de Movimiento,,Detección de Movimiento
"",,Detección de Rostros,,Detección de Rostros
Entradas/Salidas de,,,,
Alarma,1e/1s,1e/1s,1e/1s,1e/1s
Entrada/Salida Audio,1e/1s,1e/1s,1e/1s,1e/1s
Slot SD,Micro SD (512 GB),Micro SD (256 GB),Micro SD (512 GB),Micro SD (512 GB)
WIFI,;,;,;,;
Exterior,IP67,IP66,IP67,IP67
